REGION,FUEL,YEAR,VALUE
REGION1,TRANGS,2022,0
REGION1,URN,2022,0
REGION1,WND,2022,0
REGION1,WTREVTBC1,2022,0
REGION1,WTRGRCBC1,2022,0
REGION1,WTRPRCBC1,2022,0
REGION1,WTRSURBC1,2022,0
REGION1,AGRDSL,2023,0
REGION1,AGRELCB02,2023,0
REGION1,AGRNGS,2023,0
REGION1,AGRWATBC1,2023,0
REGION1,BIO,2023,0
REGION1,COA,2023,0
REGION1,COMBIO,2023,0
REGION1,COMELCB02,2023,60.24
REGION1,COMKER,2023,0
REGION1,COMNGS,2023,0
REGION1,CRPALF,2023,0
REGION1,CRPBRL,2023,0
REGION1,CRPMAI,2023,0
REGION1,CRPOAT,2023,0
REGION1,CRPOTH,2023,0
REGION1,CRPPEA,2023,0
REGION1,CRPPTW,2023,0
REGION1,CRPRAP,2023,0
REGION1,CRPRYE,2023,0
REGION1,CRPWHE,2023,0
REGION1,CRU,2023,0
REGION1,DSL,2023,0
REGION1,ELCB01,2023,0
REGION1,ELCB02,2023,0
REGION1,GEO,2023,0
REGION1,GSL,2023,0
REGION1,HFO,2023,0
REGION1,HYD,2023,0
REGION1,INDBIO,2023,0
REGION1,INDDSL,2023,0
REGION1,INDELCB02,2023,102.35
REGION1,INDNGS,2023,0
REGION1,JFL,2023,0
REGION1,KER,2023,0
REGION1,LALFHIBC1,2023,0
REGION1,LALFHRBC1,2023,0
REGION1,LALFIIBC1,2023,0
REGION1,LALFIRBC1,2023,0
REGION1,LALFLRBC1,2023,0
REGION1,LBARBC1,2023,0
REGION1,LBC1,2023,0
REGION1,LBLTBC1,2023,0
REGION1,LBRLHIBC1,2023,0
REGION1,LBRLHRBC1,2023,0
REGION1,LBRLIIBC1,2023,0
REGION1,LBRLIRBC1,2023,0
REGION1,LBRLLRBC1,2023,0
REGION1,LFORBC1,2023,0
REGION1,LGRSBC1,2023,0
REGION1,LMAIHIBC1,2023,0
REGION1,LMAIHRBC1,2023,0
REGION1,LMAIIIBC1,2023,0
REGION1,LMAIIRBC1,2023,0
REGION1,LMAILRBC1,2023,0
REGION1,LND4PWR,2023,0
REGION1,LOATHIBC1,2023,0
REGION1,LOATHRBC1,2023,0
REGION1,LOATIIBC1,2023,0
REGION1,LOATIRBC1,2023,0
REGION1,LOATLRBC1,2023,0
REGION1,LOTHBC1,2023,0
REGION1,LOTHHIBC1,2023,0
REGION1,LOTHHRBC1,2023,0
REGION1,LOTHIIBC1,2023,0
REGION1,LOTHIRBC1,2023,0
REGION1,LOTHLRBC1,2023,0
REGION1,LPEAHIBC1,2023,0
REGION1,LPEAHRBC1,2023,0
REGION1,LPEAIIBC1,2023,0
REGION1,LPEAIRBC1,2023,0
REGION1,LPEALRBC1,2023,0
REGION1,LPG,2023,0
REGION1,LPTWHIBC1,2023,0
REGION1,LPTWHRBC1,2023,0
REGION1,LPTWIIBC1,2023,0
REGION1,LPTWIRBC1,2023,0
REGION1,LPTWLRBC1,2023,0
REGION1,LRAPHIBC1,2023,0
REGION1,LRAPHRBC1,2023,0
REGION1,LRAPIIBC1,2023,0
REGION1,LRAPIRBC1,2023,0
REGION1,LRAPLRBC1,2023,0
REGION1,LRYEHIBC1,2023,0
REGION1,LRYEHRBC1,2023,0
REGION1,LRYEIIBC1,2023,0
REGION1,LRYEIRBC1,2023,0
REGION1,LRYELRBC1,2023,0
REGION1,LWATBC1,2023,0
REGION1,LWHEHIBC1,2023,0
REGION1,LWHEHRBC1,2023,0
REGION1,LWHEIIBC1,2023,0
REGION1,LWHEIRBC1,2023,0
REGION1,LWHELRBC1,2023,0
REGION1,NGS,2023,0
REGION1,PUBWATBC1,2023,0
REGION1,PWRBIO,2023,0
REGION1,PWRGEO,2023,0
REGION1,PWRHYD,2023,0
REGION1,PWRNGS,2023,0
REGION1,PWRSOL,2023,0
REGION1,PWRURN,2023,0
REGION1,PWRWATBC1,2023,0
REGION1,PWRWND,2023,0
REGION1,RESBIO,2023,0
REGION1,RESELCB02,2023,79.46
REGION1,RESKER,2023,0
REGION1,RESNGS,2023,0
REGION1,SOL,2023,0
REGION1,TRABIO,2023,0
REGION1,TRADSL,2023,0
REGION1,TRAELCB02,2023,2.64
REGION1,TRAGSL,2023,0
REGION1,TRAHFO,2023,0
REGION1,TRAJFL,2023,0
REGION1,TRALPG,2023,0
REGION1,TRANGS,2023,0
REGION1,URN,2023,0
REGION1,WND,2023,0
REGION1,WTREVTBC1,2023,0
REGION1,WTRGRCBC1,2023,0
REGION1,WTRPRCBC1,2023,0
REGION1,WTRSURBC1,2023,0
REGION1,AGRDSL,2024,0
REGION1,AGRELCB02,2024,0
REGION1,AGRNGS,2024,0
REGION1,AGRWATBC1,2024,0
REGION1,BIO,2024,0
REGION1,COA,2024,0
REGION1,COMBIO,2024,0
REGION1,COMELCB02,2024,60.96
REGION1,COMKER,2024,0
REGION1,COMNGS,2024,0
REGION1,CRPALF,2024,0
REGION1,CRPBRL,2024,0
REGION1,CRPMAI,2024,0
REGION1,CRPOAT,2024,0
REGION1,CRPOTH,2024,0
REGION1,CRPPEA,2024,0
REGION1,CRPPTW,2024,0
REGION1,CRPRAP,2024,0
REGION1,CRPRYE,2024,0
REGION1,CRPWHE,2024,0
REGION1,CRU,2024,0
REGION1,DSL,2024,0
REGION1,ELCB01,2024,0
REGION1,ELCB02,2024,0
REGION1,GEO,2024,0
REGION1,GSL,2024,0
REGION1,HFO,2024,0
REGION1,HYD,2024,0
REGION1,INDBIO,2024,0
REGION1,INDDSL,2024,0
REGION1,INDELCB02,2024,104.08
REGION1,INDNGS,2024,0
REGION1,JFL,2024,0
REGION1,KER,2024,0
REGION1,LALFHIBC1,2024,0
REGION1,LALFHRBC1,2024,0
REGION1,LALFIIBC1,2024,0
REGION1,LALFIRBC1,2024,0
REGION1,LALFLRBC1,2024,0
REGION1,LBARBC1,2024,0
REGION1,LBC1,2024,0
REGION1,LBLTBC1,2024,0
REGION1,LBRLHIBC1,2024,0
REGION1,LBRLHRBC1,2024,0
REGION1,LBRLIIBC1,2024,0
REGION1,LBRLIRBC1,2024,0
REGION1,LBRLLRBC1,2024,0
REGION1,LFORBC1,2024,0
REGION1,LGRSBC1,2024,0
REGION1,LMAIHIBC1,2024,0
REGION1,LMAIHRBC1,2024,0
REGION1,LMAIIIBC1,2024,0
REGION1,LMAIIRBC1,2024,0
REGION1,LMAILRBC1,2024,0
REGION1,LND4PWR,2024,0
REGION1,LOATHIBC1,2024,0
REGION1,LOATHRBC1,2024,0
REGION1,LOATIIBC1,2024,0
REGION1,LOATIRBC1,2024,0
REGION1,LOATLRBC1,2024,0
REGION1,LOTHBC1,2024,0
REGION1,LOTHHIBC1,2024,0
REGION1,LOTHHRBC1,2024,0
REGION1,LOTHIIBC1,2024,0
REGION1,LOTHIRBC1,2024,0
REGION1,LOTHLRBC1,2024,0
REGION1,LPEAHIBC1,2024,0
REGION1,LPEAHRBC1,2024,0
REGION1,LPEAIIBC1,2024,0
REGION1,LPEAIRBC1,2024,0
REGION1,LPEALRBC1,2024,0
REGION1,LPG,2024,0
REGION1,LPTWHIBC1,2024,0
REGION1,LPTWHRBC1,2024,0
REGION1,LPTWIIBC1,2024,0
REGION1,LPTWIRBC1,2024,0
REGION1,LPTWLRBC1,2024,0
REGION1,LRAPHIBC1,2024,0
REGION1,LRAPHRBC1,2024,0
REGION1,LRAPIIBC1,2024,0
REGION1,LRAPIRBC1,2024,0
REGION1,LRAPLRBC1,2024,0
REGION1,LRYEHIBC1,2024,0
REGION1,LRYEHRBC1,2024,0
REGION1,LRYEIIBC1,2024,0
REGION1,LRYEIRBC1,2024,0
