REGION,TECHNOLOGY,TIMESLICE,YEAR,VALUE
REGION1,LNDAGRBC1C04,SEA3D,2029,1
REGION1,LNDAGRBC1C04,SEA3N,2029,1
REGION1,LNDAGRBC1C04,SEA4D,2029,1
REGION1,LNDAGRBC1C04,SEA4N,2029,1
REGION1,LNDAGRBC1C04,SEA1D,2030,1
REGION1,LNDAGRBC1C04,SEA1N,2030,1
REGION1,LNDAGRBC1C04,SEA2D,2030,1
REGION1,LNDAGRBC1C04,SEA2N,2030,1
REGION1,LNDAGRBC1C04,SEA3D,2030,1
REGION1,LNDAGRBC1C04,SEA3N,2030,1
REGION1,LNDAGRBC1C04,SEA4D,2030,1
REGION1,LNDAGRBC1C04,SEA4N,2030,1
REGION1,LNDAGRBC1C04,SEA1D,2031,1
REGION1,LNDAGRBC1C04,SEA1N,2031,1
REGION1,LNDAGRBC1C04,SEA2D,2031,1
REGION1,LNDAGRBC1C04,SEA2N,2031,1
REGION1,LNDAGRBC1C04,SEA3D,2031,1
REGION1,LNDAGRBC1C04,SEA3N,2031,1
REGION1,LNDAGRBC1C04,SEA4D,2031,1
REGION1,LNDAGRBC1C04,SEA4N,2031,1
REGION1,LNDAGRBC1C04,SEA1D,2032,1
REGION1,LNDAGRBC1C04,SEA1N,2032,1
REGION1,LNDAGRBC1C04,SEA2D,2032,1
REGION1,LNDAGRBC1C04,SEA2N,2032,1
REGION1,LNDAGRBC1C04,SEA3D,2032,1
REGION1,LNDAGRBC1C04,SEA3N,2032,1
REGION1,LNDAGRBC1C04,SEA4D,2032,1
REGION1,LNDAGRBC1C04,SEA4N,2032,1
REGION1,LNDAGRBC1C04,SEA1D,2033,1
REGION1,LNDAGRBC1C04,SEA1N,2033,1
REGION1,LNDAGRBC1C04,SEA2D,2033,1
REGION1,LNDAGRBC1C04,SEA2N,2033,1
REGION1,LNDAGRBC1C04,SEA3D,2033,1
REGION1,LNDAGRBC1C04,SEA3N,2033,1
REGION1,LNDAGRBC1C04,SEA4D,2033,1
REGION1,LNDAGRBC1C04,SEA4N,2033,1
REGION1,LNDAGRBC1C04,SEA1D,2034,1
REGION1,LNDAGRBC1C04,SEA1N,2034,1
REGION1,LNDAGRBC1C04,SEA2D,2034,1
REGION1,LNDAGRBC1C04,SEA2N,2034,1
REGION1,LNDAGRBC1C04,SEA3D,2034,1
REGION1,LNDAGRBC1C04,SEA3N,2034,1
REGION1,LNDAGRBC1C04,SEA4D,2034,1
REGION1,LNDAGRBC1C04,SEA4N,2034,1
REGION1,LNDAGRBC1C04,SEA1D,2035,1
REGION1,LNDAGRBC1C04,SEA1N,2035,1
REGION1,LNDAGRBC1C04,SEA2D,2035,1
REGION1,LNDAGRBC1C04,SEA2N,2035,1
REGION1,LNDAGRBC1C04,SEA3D,2035,1
